id,title,description,editor
MAG001,National Geographic,Bekanntes Magazin für Demo.,Redaktion
MAG002,Time,Bekanntes Magazin für Demo.,Redaktion
MAG003,The Economist,Bekanntes Magazin für Demo.,Redaktion
MAG004,New Scientist,Bekanntes Magazin für Demo.,Redaktion
MAG005,Wired,Bekanntes Magazin für Demo.,Redaktion
MAG006,Scientific American,Bekanntes Magazin für Demo.,Redaktion
MAG007,Nature,Bekanntes Magazin für Demo.,Redaktion
MAG008,MIT Technology Review,Bekanntes Magazin für Demo.,Redaktion
MAG009,Popular Mechanics,Bekanntes Magazin für Demo.,Redaktion
MAG010,Smithsonian,Bekanntes Magazin für Demo.,Redaktion
MAG011,Harvard Business Review,Bekanntes Magazin für Demo.,Redaktion
MAG012,Vogue,Bekanntes Magazin für Demo.,Redaktion
MAG013,GQ,Bekanntes Magazin für Demo.,Redaktion
MAG014,Rolling Stone,Bekanntes Magazin für Demo.,Redaktion
MAG015,The Atlantic,Bekanntes Magazin für Demo.,Redaktion
MAG016,Bloomberg Businessweek,Bekanntes Magazin für Demo.,Redaktion
MAG017,Der Spiegel,Bekanntes Magazin für Demo.,Redaktion
MAG018,Stern,Bekanntes Magazin für Demo.,Redaktion
MAG019,Focus,Bekanntes Magazin für Demo.,Redaktion
MAG020,Chip,Bekanntes Magazin für Demo.,Redaktion
MAG021,PC Magazin,Bekanntes Magazin für Demo.,Redaktion
MAG022,c't Magazin,Bekanntes Magazin für Demo.,Redaktion
MAG023,Linux Journal,Bekanntes Magazin für Demo.,Redaktion
MAG024,Forbes,Bekanntes Magazin für Demo.,Redaktion
MAG025,Fortune,Bekanntes Magazin für Demo.,Redaktion
MAG026,Fast Company,Bekanntes Magazin für Demo.,Redaktion
MAG027,Elektor,Bekanntes Magazin für Demo.,Redaktion
MAG028,Make:,Bekanntes Magazin für Demo.,Redaktion
MAG029,Geo,Bekanntes Magazin für Demo.,Redaktion
MAG030,ArtForum,Bekanntes Magazin für Demo.,Redaktion
MAG031,Architectural Digest,Bekanntes Magazin für Demo.,Redaktion
MAG032,National Review,Bekanntes Magazin für Demo.,Redaktion
MAG033,New York Magazine,Bekanntes Magazin für Demo.,Redaktion
MAG034,The New Yorker,Bekanntes Magazin für Demo.,Redaktion
MAG035,Motherboard,Bekanntes Magazin für Demo.,Redaktion
MAG036,Monocle,Bekanntes Magazin für Demo.,Redaktion
MAG037,Newsweek,Bekanntes Magazin für Demo.,Redaktion
MAG038,Psychology Today,Bekanntes Magazin für Demo.,Redaktion
MAG039,Discover,Bekanntes Magazin für Demo.,Redaktion
MAG040,Science,Bekanntes Magazin für Demo.,Redaktion
MAG041,Scientific Reports,Bekanntes Magazin für Demo.,Redaktion
MAG042,Designboom,Bekanntes Magazin für Demo.,Redaktion
MAG043,Popular Science,Bekanntes Magazin für Demo.,Redaktion
MAG044,History Today,Bekanntes Magazin für Demo.,Redaktion
MAG045,BBC Focus,Bekanntes Magazin für Demo.,Redaktion
MAG046,Outdoor,Bekanntes Magazin für Demo.,Redaktion
MAG047,Backpacker,Bekanntes Magazin für Demo.,Redaktion
MAG048,Men’s Health,Bekanntes Magazin für Demo.,Redaktion
MAG049,Runner’s World,Bekanntes Magazin für Demo.,Redaktion
MAG050,Cosmopolitan,Bekanntes Magazin für Demo.,Redaktion
